title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Workers’ Mourning Day|Tue, 18 Apr 2017 12:30:00 -0400| From sunrise to sunset on April 28, 2017| Workers’ Mourning Day| The flags on the Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada|11|2017-04-28 00:00:00|NA|2017
National day of remembrance of the Battle of Vimy Ridge|Fri, 24 Mar 2017 08:00:00 -0400| From sunrise to sunset on April 9, 2017| To mark the national day of remembrance of the Battle of Vimy Ridge| The flag on the Peace Tower in Ottawa|11|2017-04-09 00:00:00|NA|2017
Death of the Honourable William (Bill) Rompkey, P.C.|Thu, 23 Mar 2017 10:00:00 -0400| From March 23 until sunset on the day of the funeral service on March 31, 2017| Death of the Honourable William (Bill) Rompkey, P.C. who passed away on March 21, 2017| The flags on all Government of Canada buildings and establishments in the city of Ottawa, with the exception of the Peace Tower|7|2017-03-23 00:00:00|2017-03-31 00:00:00|2017
Victims of the attack in London on March 22, 2017|Thu, 23 Mar 2017 06:00:00 -0400| From March 22 until sunset on March 25, 2017| In memory of the victims of the attack in London on March 22, 2017| The flag on the Peace Tower in Ottawa|16|2017-03-22 00:00:00|2017-03-25 00:00:00|2017
Death of the Honourable James McGrath, P.C., former Minister and former Lieutenant Governor of Newfoundland and Labrador|Wed, 1 Mar 2017 07:00:00 -0500| From March 1 until sunset on the day of the funeral or commemorative service of the late James McGrath| Death of the Honourable James McGrath, P.C., former Minister and former Lieutenant Governor of Newfoundland and Labrador, who passed away on February 28, 2017| The flags on all Government of Canada buildings and establishments in the province of Newfoundland and Labrador|Multiple|2017-03-01 00:00:00|NA|2017
Victims of the attack in the City of Québec on January 29, 2017|Mon, 30 Jan 2017 10:00:00 -0500| From January 30 until sunset February 6, 2017| In memory of the victims of the attack in the City of Québec on January 29, 2017|" The flags on all federal buildings and establishments in Canada, including the Peace Tower, with the exception of buildings and establishments in the province of QuebecAdditional details: As per the Rules for Half-masting the National Flag of Canada (section 16)
"|Multiple|2017-01-30 00:00:00|2017-02-06 00:00:00|2017
Death of the Honourable Marcel Prud'homme, P.C.|Thu, 26 Jan 2017 10:00:00 -0500| From January 26 until sunset on the day of the funeral on February 4, 2017, of the late Marcel Prud’homme| Death of the Honourable Marcel Prud'homme, P.C. who died on January 25, 2017| All Government of Canada buildings and establishments in the city of Ottawa, with the exception of the Peace Tower|7|2017-01-26 00:00:00|2017-02-04 00:00:00|2017
Victims of the attack in Istanbul, Turkey on December 31, 2016|Tue, 3 Jan 2017 06:00:00 -0500| January 3 to January 6, 2017| The flag on the Peace Tower in Ottawa, will be flown at half-mast from now until sunset January 6, 2017, in memory of the victims of the attack in Istanbul  | The flag on the Peace Tower in Ottawa|16|2017-01-03 00:00:00|2017-01-06 00:00:00|2017
Death of Honourable Warren Allmand, P.C., O.C., Q.C.|Thu, 8 Dec 2016 12:00:00 -0500| From December 8 until sunset on December 19, 2016, day of the funeral of the late Honourable Warren Allmand| Death of the Honourable Warren Allmand, P.C., O.C., Q.C. who passed away on December 7, 2016|" All Government of Canada buildings and establishments in the city of Montréal, QuébecAdditional details: Rules for Half-masting the National Flag of Canada (Section 7)
"|7|2016-12-08 00:00:00|2016-12-19 00:00:00|2016
National Day of Remembrance and Action on Violence Against Women|Wed, 23 Nov 2016 14:00:00 -0500| From sunrise to sunset on Tuesday, December 6, 2016| National Day of Remembrance and Action on Violence Against Women| All Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa|11|2016-12-06 00:00:00|NA|2016
Remembrance Day|Mon, 31 Oct 2016 10:00:00 -0400| From sunrise to sunset on Friday, November 11, 2016.| Remembrance Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower|11|2016-11-11 00:00:00|NA|2016
Death of the Honourable Jim Prentice, P.C., Q.C|Fri, 14 Oct 2016 10:00:00 -0400| From October 14 until sunset October 28, 2016 the day of the of the memorial for the late Honourable Jim Prentice| Death of the Honourable Jim Prentice who passed away October 13, 2016|" All Government of Canada buildings and establishments in the city of CalgaryAdditional details: Rules for Half-masting the National Flag of Canada (Section 7)
"|7|2016-10-14 00:00:00|2016-10-28 00:00:00|2016
Death of the Honourable Barbara A. Hagerman, O.P.E.I., former Lieutenant Governor of Prince Edward Island|Thu, 6 Oct 2016 08:00:00 -0400| From October 6 until sunset on the day of the funeral or commemorative service (date to be confirmed) of the late Barbara A. Hagerman, former Lieutenant Governor of Prince Edward Island, who passed away on Thursday, October 6, 2016.| Death of the Honourable Barbara A. Hagerman, O.P.E.I., former Lieutenant Governor of Prince Edward Island| on all Government of Canada buildings and establishments in the province of Prince Edward Island|10|2016-10-06 00:00:00|NA|2016
Police and Peace Officers' National Memorial Day - September 25, 2016|Thu, 22 Sep 2016 06:00:00 -0400| From sunrise to sunset on Sunday, September 25, 2016| To recognize Police and Peace Officers' National Memorial Day| Flags on all Government of Canada buildings and establishments across the country, including the Peace Tower in Ottawa.|11|2016-09-25 00:00:00|NA|2016
Death of Norman L. Kwong, CM, AOE, LLD, former Lieutenant Governor of Alberta|Tue, 6 Sep 2016 06:00:00 -0400| From now until sunset on Tuesday September 13, the day of the commemorative service of the late Norman L. Kwong, former Lieutenant Governor of Alberta, who passed away on Saturday, September 3, 2016.| Death of Norman L. Kwong, CM, AOE, LLD, former Lieutenant Governor of Alberta, who passed away on Saturday, September 3, 2016.| All Government of Canada buildings and establishments in the province of Alberta|10|2016-09-13 00:00:00|NA|2016
Death of Honourable Mauril Bélanger, P.C., M.P.|Wed, 17 Aug 2016 08:00:00 -0400| From August 17 until sunset August 27, 2016 the day of the funeral for the late Honourable Mauril Bélanger, who passed away on August 16, 2016| Death of Honourable Mauril Bélanger, P.C., M.P.| All Government of Canada buildings and establishments in the riding of Ottawa-Vanier.  Additionally, the flag on the Peace Tower will be flown at half-mast from sunrise to sunset on August 27, 2016 the day of the funeral.|Multiple|2016-08-17 00:00:00|2016-08-27 00:00:00|2016
To mark the tragic events that took place in Nice, France|Fri, 15 Jul 2016 08:00:00 -0400| From July 15 until sunset on Monday, July 18, 2016| To mark the tragic events that took place in Nice, France, on July 14, 2016| The flag on the Peace Tower in Ottawa|16|2016-07-15 00:00:00|2016-07-18 00:00:00|2016
Victims of the Attack in Istanbul, Turkey, on June 28, 2016|Thu, 30 Jun 2016 08:00:00 -0400| From June 30 until sunset on July 2, 2016| In memory of the victims of the attack in Istanbul, Turkey, on June 28, 2016| The flag on the Peace Tower in Ottawa|19|2016-06-30 00:00:00|2016-07-02 00:00:00|2016
National Day of Remembrance for Victims of Terrorism|Thu, 23 Jun 2016 04:00:00 -0400| From sunrise to sunset on Thursday, June 23, 2016, to mark this day.| National Day of Remembrance for Victims of Terrorism| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across the country.|11|2016-06-23 00:00:00|NA|2016
Death of the Honorable L. Norbert Thériault|Mon, 20 Jun 2016 10:00:00 -0400| From June 20 until the day of the funeral or commemorative service, date to be confirmed, of the late L. Norbert Thériault| Death of the Honorable L. Norbert Thériault, who passed away on June 19, 2016| All Government of Canada buildings and establishments in Baie-Saint-Anne, New Brunswick|10|2016-06-20 00:00:00|NA|2016
Death of His Worship Gerry Cormier|Mon, 20 Jun 2016 10:00:00 -0400| From June 20 until the day of the funeral or commemorative service, date to be confirmed, of the late Gerry Cormier| Death of His Worship Gerry Cormier, who passed away on June 19, 2016| All Government of Canada buildings and establishments in Miramichi, New Brunswick|10|2016-06-20 00:00:00|NA|2016
Death of Honourable Brian M. Joyce|Sun, 19 Jun 2016 10:00:00 -0400| From June 19 until sunset on July 4, 2016.| Death of Honourable Brian M. Joyce who passed away on June 18, 2016.| All Government of Canada buildings and establishments in the region of Chilliwack. British Columbia|10|2016-06-19 00:00:00|2016-07-04 00:00:00|2016
Death of the Honourable J. Gilles Lamontagne, P.C., O.C., C.Q., C.D.|Wed, 15 Jun 2016 12:00:00 -0400| Now until sunset on June 18, the day of the funeral| Death of the Honourable J. Gilles Lamontagne, P.C., O.C., C.Q., C.D.| On all Government of Canada buildings and establishments in the city of Québec, Quebec|7|2016-06-18 00:00:00|NA|2016
Victims of the attack in Orlando, FL, on June 12, 2016|Mon, 13 Jun 2016 08:00:00 -0400| From June 13, 2016 until June 16, 2016| The flag on the Peace Tower in Ottawa will be flown at half-mast from now until June 16, 2016 in memory of the victims of the attack in Orlando, FL, on June 12, 2016| The flag on the Peace Tower in Ottawa|16|2016-06-13 00:00:00|2016-06-16 00:00:00|2016
Death of the Honourable Leonard Stephen Marchand, P.C., C.M.|Fri, 3 Jun 2016 09:00:00 -0400| From now until sunset on the day of the funeral or commemorative service (date to be confirmed) of the late Leonard S. Marchand| Death of the Hourable Leonard S. Marchand, who passed away on June 3, 2016.| All Government of Canada buildings and establishments in the city of Kamloops,  British Columbia|7|2016-06-13 00:00:00|2016-06-16 00:00:00|2016
Memorial Service for Deceased Parliamentarians|Mon, 30 May 2016 09:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, May 30, 2016| Memorial Service for Deceased Parliamentarians| Peace Tower in Ottawa|11|2016-05-30 00:00:00|NA|2016
Death of the Honourable William H. Jarvis, P.C., Q.C.|Mon, 2 May 2016 07:00:00 -0400| From now until sunset on May 12, 2016, day of the commemorative service of the late William H. Jarvis, who passed away on April 27, 2016| Death of the Honourable William H. Jarvis, P.C., Q.C. who died on April 27, 2016.| All Government of Canada buildings and establishments in the city of Cornwall, Ontario|7|2016-05-12 00:00:00|NA|2016
Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)|Thu, 28 Apr 2016 05:00:00 -0400| Sunrise to sunset on Thursday, April 28, 2016| Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)| The Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada|11|2016-04-28 00:00:00|NA|2016
Vimy Ridge Day|Sat, 9 Apr 2016 04:00:00 -0400| From sunrise to sunset on April 9, 2016| To mark the national day of remembrance of the Battle of Vimy Ridge| Peace Tower in Ottawa|11|2016-04-09 00:00:00|NA|2016
Death of Constable Sarah Beckett of the Royal Canadian Mounted Police|Fri, 8 Apr 2016 07:00:00 -0400| From sunrise until sunset on April 12, 2016 the day of the funeral of the late Constable Sarah Beckett| Death of Constable Sarah Beckett of the Royal Canadian Mounted Police, who passed away on April 5, 2016| The flags on all Government of Canada buildings and establishments in the Province of British Columbia|10|2016-04-12 00:00:00|NA|2016
Death of Honourable Jean-Charles (Jean) Lapierre, P.C.|Wed, 30 Mar 2016 06:00:00 -0400| From March 30, 2016 until sunset on April  8, 2016, the day of the funeral of the late Honourable Jean-Charles (Jean) Lapierre. | The death of Honourable Jean-Charles (Jean) Lapierre, P.C. who died on March 29, 2016.| All Government of Canada buildings and establishments in the city of Montréal, and les Iles de la Madeleine, Quebec|7|2016-03-30 00:00:00|2016-04-08 00:00:00|2016
In memory of the victims of the attack in Lahore, Pakistan on March 27, 2016|Mon, 28 Mar 2016 07:00:00 -0400| From March 28 until sunset on March 31, 2016| In memory of the victims of the tragedy in Pakistan on March 27, 2016.  | The flag on the Peace Tower in Ottawa|16|2016-03-28 00:00:00|2016-03-31 00:00:00|2016
